int,string,string,int,string[],string[]
ID,Name,SpriteName,Postern,InternalPerformance,Appearance
2,E级敞篷轿跑车,E-Class-Cabriolet,0,文质彬彬|才貌双绝|热情奔放|博学多才|精明能干,风擎万种|魅力无限|优雅动感|动感之魅|纵情超越|动感十足|引人注目|动心演绎|激情洋溢|跃然而出
3,C级旅行轿车,C-Class-Estate,0,率真坦白|温文尔雅|澹泊寡欲|风流倜傥,凌厉跑劲|优雅简约|宽宏大气|独具一格|优雅雍容|贯彻始终|大方得体|浑然挥洒|意态动人|瞩目动人|心驰难舍
4,R级大型旅行车,R,0,博学多才|功成不居|平步青云,磅礴之气|王者风范|运筹全局|自信非凡|运筹帷幄
5,CLS猎装车,CLS-SB,0,文质彬彬|玉树临风|温文尔雅|一表非凡,赏新悦目|引领风潮|不言而喻|心驰神往|引人注目|卓然不凡|纵情驰骋|气势非凡
6,SL敞篷跑车,SL,0,热情奔放|平步青云|热情奔放,风姿澎湃|纵情驰骋|心驰神往|非凡魅力
7,AMG C 63,C-63AMG,0,热情自由|匠心独运|超凡脱俗,速战速决|凌锐之风|灵活多变|生势不凡|蓄势待发
8,AMG C 63 轿跑车,C-63-Coupe,0,从容自如|匠心独运|超凡脱俗|与众不同,淋漓尽致|心生向往|酣畅尽逐|驭罢不能|耀世而出|一鸣不凡|一鸣惊人
9,迈巴赫S级轿车,May-S,0,一表非凡|富贵浮云|匠心独运,礼待天下|运筹帷幄|别出心裁|安享惬意|卓然品味|决胜千里|奢华美感
10,AMG GT,AMG-GT,1,热情奔放|从容自如|超凡脱俗,丰富多变|轻灵而动|展露无遗|非凡魅力|不言而驭|逐风而行
11,AMG CLS 63  4MATIC,CLS-63,1,华美雅致|匠心独运|与众不同,如光似影|高贵奢华|流光熠采|傲然风骨
12,AMG GLE 63 4MATIC 轿跑SUV,GLE-63-Coup,1,才貌双绝|从容自如|匠心独运|与众不同,倾力倾城|轩昂动感|气势磅礡|贤身贵体|生势不凡|卓然出众|无畏而驰|征服天地
13,AMG GLE 63  4MATIC,GLE-63,1,玉树临风|匠心独运|温文尔雅,登峰造极|无往不至|尽情挥洒|相由心生|生势不凡|品味非凡
14,AMG GLS 63  4MATIC,GLS-63,1,气壮山河|气宇轩昂|无所畏惧,雷霆万钧|叱咤风云|心悦诚服|放怀天地|与众不同|挥斥方逎|轩昂大气
15,AMG GT R,AMG-GTR,1,龙驹凤雏|英姿勃发|功名盖世|盖世英雄|战无不胜,独一无二|御风疾驰|凌云御风|乘奔御风|激情奔放|狂放不羁|豪放不羁|平步青云|扶摇直上|狂野奔放
16,AMG S 63 4MATIC  轿跑车,S-63-Coupe,1,举世无双|气宇轩昂|智勇双全|王者之气,离弦之箭|收放自如|别具一格|得心应手|御风而行|游刃有余|势如破竹|动感优雅|冠艳同济|傲视群雄
17,AMG S 65 L,S-65,1,举世无双|气宇轩昂|平步青云,难以言喻|沉稳尊贵|随心所欲|境界超凡|王者风范|叹为观止|众人瞩目|波澜不惊|王者霸气
18,AMG G 65,G-65,1,举世无双|盖世无双|雄才大略,凌越巅峰|摄人魅力|卓越非凡|浩瀚征途|独树一帜|伟岸身姿|独具一格|纵驰桀骜|极致完美|动静皆宜|无可挑剔|尽显尊贵|游刃有余
